"질문","답변"
"하계방학은 언제야?","2025-하계방학은 2025년 6월 24일부터야."
"하계 계절수업은 언제 시작해?","2025-하계 계절수업은 2025년 6월 24일부터 시작해."
"2025-하계 계절수업은 언제까지야?","2025-하계 계절수업은 2025년 7월 9일까지야."
"하계 계절수업은 어디서 진행돼?","2025-하계 계절수업은 2025년 6월 24일부터 7월 9일까지 진행돼."
"1학기 이의신청은 언제야?","2025-1학기 이의신청은 2025년 7월 1일부터 7월 3일까지야."
"2025-1학기 이의신청은 언제 시작해?","2025-1학기 이의신청은 2025년 7월 1일부터 시작해."
"이의신청은 언제 끝나?","2025-1학기 이의신청은 2025년 7월 3일에 끝나."
"2025-1학기 이의신청은 며칠 동안이야?","2025-1학기 이의신청은 2025년 7월 1일부터 7월 3일까지 총 3일 동안이야."
"성적정정은 언제야?","2025-1학기 성적정정은 2025년 7월 1일부터 7월 4일까지야."
"2025-1학기 성적정정은 언제 끝나?","2025-1학기 성적정정은 2025년 7월 4일에 끝나."
"1학기 성적정정은 며칠 동안 할 수 있어?","2025-1학기 성적정정은 2025년 7월 1일부터 7월 4일까지 총 4일 동안 할 수 있어."
"성적확인은 언제야?","2025-1학기 성적확인은 2025년 7월 1일부터 7월 5일까지야."
"2025-1학기 성적확인은 언제 시작해?","2025-1학기 성적확인은 2025년 7월 1일부터 시작해."
"성적확인은 언제 끝나?","2025-1학기 성적확인은 2025년 7월 5일에 끝나."
"하계 계절수업 성적입력은 언제야?","2025-하계 계절수업 성적입력은 2025년 7월 9일부터 7월 12일까지야."
"2025-하계 계절수업 성적입력은 언제 시작해?","2025-하계 계절수업 성적입력은 2025년 7월 9일부터 시작해."
"하계 계절수업 성적입력은 언제까지야?","2025-하계 계절수업 성적입력은 2025년 7월 12일까지야."
"하계 계절수업 성적입력은 며칠 동안이야?","2025-하계 계절수업 성적입력은 2025년 7월 9일부터 7월 12일까지 총 4일 동안이야."
"1학기 성적확정은 언제야?","2025-1학기 성적확정은 2025년 7월 10일에 있어."
"2025-1학기 성적확정은 언제 돼?","2025-1학기 성적확정은 2025년 7월 10일에 있어."
"2학기 대상 학적 변동은 언제야?","2025-2학기 대상 학적 변동은 2025년 7월 14일부터 7월 18일까지야."
"학적 변동은 언제 시작해?","2025-2학기 대상 학적 변동은 2025년 7월 14일부터 시작해."
"2025-2학기 학적 변동은 언제까지야?","2025-2학기 대상 학적 변동은 2025년 7월 18일까지야."
"학적 변동은 며칠 동안 진행돼?","2025-2학기 대상 학적 변동은 2025년 7월 14일부터 7월 18일까지 총 5일 동안 진행돼."
"하계 계절수업 성적 확인은 언제야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 15일부터 7월 16일까지야."
"2025-하계 계절수업 이의신청은 언제 시작해?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 15일부터 시작해."
"하계 계절수업 성적 정정은 언제까지야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 16일까지야."
"하계 계절수업 성적 확인은 며칠 동안이야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 15일부터 7월 16일까지 총 2일 동안이야."
"하계 계절수업 성적 확정은 언제야?","2025-하계 계절수업 성적 확정은 2025년 7월 17일에 있어."
"2025-하계 계절수업 성적은 언제 확정돼?","2025-하계 계절수업 성적 확정은 2025년 7월 17일에 있어."
"2학기 수강신청 1차는 언제야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지야."
"2025-2학기 재학생 1차 수강신청은 언제 시작해?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 시작해."
"2학기 수강신청 1차는 언제까지야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 25일까지야."
"재학생 1차 수강신청은 며칠 동안이야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지 총 3일 동안이야."
"2학기 교차수강신청은 언제부터야?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 5일부터야."
"2025-2학기 교차수강신청은 언제야?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지야."
"교차수강신청은 언제 끝나?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 6일에 끝나."
"2025-2학기 교차수강신청은 며칠 동안이야?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지 총 2일 동안이야."
"2학기 재학생 2차 수강신청은 언제야?","2025-2학기 수강신청(재학생 2차)은 2025년 8월 21일에 있어."
"2025-2학기 재학생 2차는 언제 시작해?","2025-2학기 수강신청(재학생 2차)은 2025년 8월 21일에 시작해."
"재학생 2차 수강신청은 언제 끝나?","2025-2학기 수강신청(재학생 2차)은 2025년 8월 21일에 끝나."
"후기 학위수여식은 언제야?","2024학년도 후기 학위수여식은 2025년 8월 22일에 있어."
"2024학년도 후기 학위수여식은 언제 돼?","2024학년도 후기 학위수여식은 2025년 8월 22일에 있어."
"2학기 등록은 언제야?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지야."
"2025-2학기 등록은 언제 시작해?","2025-2학기 등록은 2025년 8월 22일부터 시작해."
"2학기 등록은 언제까지야?","2025-2학기 등록은 2025년 8월 26일까지야."
"2025-2학기 등록은 며칠 동안이야?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지 총 5일 동안이야."
"2학기 개강은 언제야?","2025-2학기 개강은 2025년 9월 1일에 있어."
"2025-2학기 개강은 언제 시작해?","2025-2학기 개강은 2025년 9월 1일에 시작해."
"2학기 수강신청 정정은 언제야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지야."
"2025-2학기 수강신청 정정은 언제 시작해?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 시작해."
"수강신청은 언제쯤 하지?","수강신청은 학기마다 다르지만, 예를 들어 2025-1학기 재학생 1차는 2025년 2월 5일부터 2월 7일까지야. 어떤 수강신청을 말하는 건지 구체적으로 알려주면 더 정확히 답해줄게!"
"장바구니는 언제 열리나?","장바구니 수강신청은 1차와 2차가 있어. 2025-1학기 1차는 1월 31일부터 2월 3일까지, 2차는 2월 14일이야. 어느 걸 묻는 건지 모호하네."
"시험은 언제 보는 거야?","시험은 중간고사와 기말고사가 있는데, 2025-1학기 중간고사는 4월 22일부터 28일까지, 기말고사는 6월 10일부터 16일까지야. 어떤 시험을 궁금해하는 건지 모르겠네?"
"등록은 언제 해야 돼?","등록 기간은 학기마다 달라. 2025-1학기는 2월 19일부터 24일까지고, 2학기는 8월 22일부터 26일까지야. 어느 학기를 말하는 거야?"
"개강이 언제더라?","개강일은 2025-1학기가 3월 4일, 2학기가 9월 1일이야. 어느 학기를 묻는 건지 잘 모르겠네."
"강의평가는 언제 하는 건가?","강의평가는 중간과 기말이 있어. 2025-1학기 중간강의평가는 4월 7일부터 30일까지, 기말강의평가는 6월 2일부터 7월 5일까지야. 어느 걸 말하는 걸까?"
"성적은 언제 나와?","성적 확인은 학기마다 달라. 2025-1학기는 7월 1일부터 5일까지, 2학기는 12월 30일부터 2026년 1월 3일까지야. 어떤 성적을 궁금해하는 거야?"
"방학은 언제부터지?","방학은 하계와 동계가 있어. 하계방학은 2025년 6월 24일부터, 동계방학은 12월 22일부터야. 어느 방학을 말하는 건지 모호하네."
"계절수업은 언제쯤 하나?","계절수업은 하계와 동계가 있어. 하계는 2025년 6월 24일부터 7월 9일까지, 동계는 12월 22일부터 2026년 1월 8일까지야. 어느 걸 묻는 거지?"
"학위수여식은 언제 있지?","학위수여식은 전기와 후기가 있어. 2024학년도 전기는 2025년 2월 25일, 후기는 8월 22일이야. 어느 걸 궁금해하는 걸까?"
"입학식은 언제 하는 거야?","입학식은 지역별로 달라. 2025학년도 천안은 2월 26일, 서울은 2월 27일이야. 어느 입학식을 말하는 건지 모르겠네."
"교차수강은 언제 가능해?","교차수강신청은 1학기와 2학기가 있어. 2025-1학기는 2월 11일부터 12일까지, 2학기는 8월 5일부터 6일까지야. 어느 학기를 말하는 거야?"
"수업 포기는 언제쯤 해야 해?","수강포기는 1학기와 2학기가 달라. 2025-1학기는 3월 18일부터 20일까지, 2학기는 9월 18일부터 19일까지야. 어느 걸 묻는 건지 모호하네."
"성적 입력은 언제 하는 거야?","성적 입력은 학기마다 달라. 2025-1학기는 6월 9일부터 29일까지, 2학기는 12월 9일부터 28일까지야. 뭘 말하는 걸까?"
"이의신청은 언제 할 수 있나?","이의신청은 1학기와 2학기가 있어. 2025-1학기는 7월 1일부터 3일까지, 2학기는 12월 30일부터 2026년 1월 1일까지야. 어느 걸 궁금해하는 거야?"
"정정은 언제쯤 돼?","정정은 수강신청 정정과 성적정정이 있어. 예를 들어 2025-1학기 수강신청 정정은 3월 4일부터 10일까지, 성적정정은 7월 1일부터 4일까지야. 뭘 말하는 건지 모호하네."
"자율보강은 언제 있지?","자율보강은 1학기와 2학기가 있어. 2025-1학기는 6월 17일부터 23일까지, 2학기는 12월 15일부터 21일까지야. 어느 걸 묻는 거지?"
"폐강은 언제 알 수 있어?","폐강 공고는 2025-1학기에만 나와 있는데, 2월 28일이야. 다른 학기를 묻는 건지 모호하네."
"장바구니는 언제 넣어?","장바구니 수강신청은 1차와 2차가 있어. 2025-1학기 1차는 1월 31일부터 2월 3일까지, 2차는 2월 14일이야. 어느 걸 말하는 건지 잘 모르겠네."
"수강은 언제부터 하지?","수강신청은 여러 번 있어. 예를 들어 2025-1학기 재학생 1차는 2월 5일부터 7일까지야. 뭘 묻는 건지 구체적으로 알려줘!"
"시험 기간은 언제쯤이야?","시험은 중간고사와 기말고사가 있어. 2025-1학기 중간고사는 4월 22일부터 28일까지야. 어떤 시험을 말하는 건지 모호하네."
"등록금은 언제 내나?","등록은 2025-1학기가 2월 19일부터 24일까지, 2학기가 8월 22일부터 26일까지야. 어느 걸 묻는 거야?"
"개강 전에 뭐 해야 해?","개강 전에는 수강신청, 등록 등이 있어. 2025-1학기 등록은 2월 19일부터 24일까지야. 뭘 궁금해하는 건지 모르겠네."
"평가는 언제쯤 하나?","평가는 강의평가와 시험이 있어. 2025-1학기 중간강의평가는 4월 7일부터 30일까지야. 뭘 말하는 걸까?"
"성적이 언제쯤 확정돼?","성적확정은 2025-1학기가 7월 10일, 2학기가 2026년 1월 8일이야. 어느 학기를 묻는 건지 모호하네."
"방학은 언제 끝나?","방학 끝은 명시되지 않았지만, 하계방학은 6월 24일부터 시작하고 2학기 개강이 9월 1일이야. 어느 방학을 말하는 거야?"
"계절은 언제 시작해?","계절수업은 하계가 6월 24일부터, 동계가 12월 22일부터야. 어느 걸 묻는 건지 모호하네."
"학위는 언제 받나?","학위수여식은 2025년 2월 25일(전기)과 8월 22일(후기)이야. 어느 걸 궁금해하는 걸까?"
"입학은 언제쯤이지?","입학식은 2025학년도 천안이 2월 26일, 서울이 2월 27일이야. 뭘 말하는 건지 모르겠네."
"수업은 언제 끝나?","수업 끝은 기말고사 후로 볼 수 있어. 2025-1학기 기말고사는 6월 10일부터 16일까지야. 어느 걸 묻는 거야?"
"장바구니 신청은 언제까지야?","장바구니는 1차가 2월 3일까지, 2차가 2월 14일까지야. 어느 걸 말하는 건지 모호하네."
"수강신청은 어디서 해?","수강신청은 보통 온라인으로 하지만, 구체적인 장소는 데이터에 없어. 언제 수강신청을 묻는 거야? 예를 들어 2월 5일부터 재학생 1차가 있어."
"시험은 며칠 동안이야?","시험 기간은 달라. 2025-1학기 중간고사는 7일, 기말고사는 7일이야.どの 시험을 말하는 거야?"
"등록은 어떻게 해야 해?","등록은 2월 19일부터 24일까지(1학기)처럼 기간이 정해져 있어. 어떻게 해야 하는지는 구체적인 절차가 없네. 어느 학기를 묻는 거야?"
"개강 후에 뭐해?","개강 후에는 수강신청 정정(3월 4일부터 10일까지)이 있어. 뭘 궁금해하는 건지 모호하네."
"강의는 언제쯤 평가하지?","강의평가는 2025-1학기 중간이 4월 7일부터, 기말이 6월 2일부터야. 어느 걸 말하는 걸까?"
"성적 확인은 어디서 해?","성적 확인은 7월 1일부터 5일까지(1학기)처럼 기간이 있어. 어디서 하는지는 데이터에 없네. 언제를 묻는 거야?"
"방학 동안 뭐해?","방학은 하계(6월 24일부터)와 동계(12월 22일부터)가 있어. 뭘 할 건지, 어느 방학을 말하는 건지 모호하네."
"계절수업은 필수야?","계절수업은 선택이야. 하계는 6월 24일부터, 동계는 12월 22일부터야. 뭘 궁금해하는 걸까?"
"학위수여는 어디서 해?","학위수여식은 서울과 천안에서 해. 2025년 2월 25일이 전기야. 언제를 묻는 거야?"
